#Flux units are: #nu/POT/m^2/MeV
#Energy Flux
0.0 0.0
25.0 6.08619589787e-10
75.0 2.31407364475e-09
125.0 2.98641348599e-09
175.0 3.58960591984e-09
225.0 4.4816089226e-09
275.0 4.8982173477e-09
325.0 5.24565556717e-09
375.0 5.49182439047e-09
425.0 5.74940861553e-09
475.0 6.05359641273e-09
525.0 6.15412287595e-09
575.0 6.15978914193e-09
625.0 6.12665643142e-09
675.0 6.06896097533e-09
725.0 5.98659710567e-09
775.0 5.85291440995e-09
825.0 5.62057542999e-09
875.0 5.39522609926e-09
925.0 5.15368640321e-09
975.0 4.88895257941e-09
1025.0 4.62166462959e-09
1075.0 4.32370111231e-09
1125.0 4.01779729561e-09
1175.0 3.72714803099e-09
1225.0 3.45814333792e-09
1275.0 3.154767954e-09
1325.0 2.85461616808e-09
1375.0 2.55859104356e-09
1425.0 2.25893701909e-09
1475.0 1.97627003159e-09
1525.0 1.71877283789e-09
1575.0 1.47640625349e-09
1625.0 1.25330227746e-09
1675.0 1.05650999728e-09
1725.0 8.90638998861e-10
1775.0 7.38617385141e-10
1825.0 6.09917325009e-10
1875.0 5.01798687795e-10
1925.0 4.09966448945e-10
1975.0 3.30693956563e-10
2025.0 2.65911235003e-10
2075.0 2.19153231961e-10
2125.0 1.79916192357e-10
2175.0 1.48190356827e-10
2225.0 1.24945317552e-10
2275.0 1.07300173808e-10
2325.0 9.34384061404e-11
2375.0 8.20367670176e-11
2425.0 7.3759509466e-11
2475.0 6.6438273717e-11
2525.0 6.32726551604e-11
2575.0 5.85382387404e-11
2625.0 5.62455743116e-11
2675.0 5.22919804634e-11
2725.0 5.16681615077e-11
2775.0 5.03705902607e-11
2825.0 4.85687663944e-11
2875.0 4.52604242172e-11
2925.0 4.41242839219e-11
2975.0 4.19173644902e-11
3025.0 4.19919591603e-11
3075.0 4.00353029385e-11
3125.0 4.03093991242e-11
3175.0 3.79713700535e-11
3225.0 3.63455030975e-11
3275.0 3.46428080135e-11
3325.0 3.38973108313e-11
3375.0 3.34805673583e-11
3425.0 3.13584938863e-11
3475.0 3.03706269307e-11
3525.0 3.02667117632e-11
3575.0 2.89321781998e-11
3625.0 2.80904189778e-11
3675.0 2.67969640786e-11
3725.0 2.50021402656e-11
3775.0 2.52253531891e-11
3825.0 2.34467883849e-11
3875.0 2.23218987809e-11
3925.0 2.18643028166e-11
3975.0 2.07883711774e-11
4025.0 1.96249289784e-11
4075.0 1.88144819895e-11
4125.0 1.80894053986e-11
4175.0 1.69629127938e-11
4225.0 1.58983505867e-11
4275.0 1.52528430575e-11
4325.0 1.49749881599e-11
4375.0 1.38065970138e-11
4425.0 1.31588956069e-11
4475.0 1.25035848934e-11
4525.0 1.18129459632e-11
4575.0 1.14380190438e-11
4625.0 1.0571050018e-11
4675.0 1.00680597266e-11
4725.0 9.61911770533e-12
4775.0 9.24010765715e-12
4825.0 8.53508129942e-12
4875.0 7.97098684838e-12
4925.0 7.31897189903e-12
4975.0 6.90529801723e-12
5025.0 6.54713051431e-12
5075.0 6.23625295062e-12
5125.0 5.81606033998e-12
5175.0 5.42979650083e-12
5225.0 5.18367791054e-12
5275.0 4.77898026818e-12
5325.0 4.57966817241e-12
5375.0 4.29165068748e-12
5425.0 3.96166998997e-12
5475.0 3.7408414242e-12
5525.0 3.45362261254e-12
5575.0 3.20538188375e-12
5625.0 3.00279310719e-12
5675.0 2.76578946398e-12
5725.0 2.5864017926e-12
5775.0 2.38770531136e-12
5825.0 2.11789687026e-12
5875.0 1.95083156127e-12
5925.0 1.78198248975e-12
5975.0 1.59495529648e-12
6025.0 1.43605624501e-12
6075.0 1.26194131916e-12
6125.0 1.14134465883e-12
6175.0 9.5336338673e-13
6225.0 8.4558728776e-13
6275.0 7.12351048629e-13
6325.0 5.82883990748e-13
6375.0 4.76442886522e-13
6425.0 3.90851130411e-13
6475.0 3.12353298094e-13
6525.0 2.31800096896e-13
6575.0 1.98832405885e-13
6625.0 1.47490646506e-13
6675.0 7.93987969503e-14
6725.0 4.88772692304e-14
6775.0 2.00040805062e-14
6825.0 7.12039047556e-15
6875.0 1.25675445005e-15
6925.0 1.25675445005e-15
6975.0 1.46621343879e-15
7025.0 0.0
7075.0 0.0
7125.0 0.0
7175.0 0.0
7225.0 0.0
7275.0 0.0
7325.0 0.0
7375.0 0.0
7425.0 0.0
7475.0 0.0
7525.0 0.0
7575.0 0.0
7625.0 0.0
7675.0 0.0
7725.0 0.0
7775.0 0.0
7825.0 0.0
7875.0 0.0
7925.0 0.0
7975.0 0.0
8025.0 0.0
8075.0 0.0
8125.0 0.0
8175.0 0.0
8225.0 0.0
8275.0 0.0
8325.0 0.0
8375.0 0.0
8425.0 0.0
8475.0 0.0
8525.0 0.0
8575.0 0.0
8625.0 0.0
8675.0 0.0
8725.0 0.0
8775.0 0.0
8825.0 0.0
8875.0 0.0
8925.0 0.0
8975.0 0.0
9025.0 0.0
9075.0 0.0
9125.0 0.0
9175.0 0.0
9225.0 0.0
9275.0 0.0
9325.0 0.0
9375.0 0.0
9425.0 0.0
9475.0 0.0
9525.0 0.0
9575.0 0.0
9625.0 0.0
9675.0 0.0
9725.0 0.0
9775.0 0.0
9825.0 0.0
9875.0 0.0
9925.0 0.0
